Název politické strany;2. Senát by měl být i nadále zachován.;3. Tzv. babyboxy by měly být i nadále zachovány.;4. V ČR by měla být i nadále povolena stavba mešit.;5. Prezident by měl být i nadále volen přímo občany.;7. Zaměstnavatel by měl mít možnost dát výpověď bez udání důvodu.;8. Měla by být zavedena možnost eutanázie.;9. ČR by měla i nadále usilovat o přijetí eura.;10. Prezident by měl mít i nadále možnost udělovat milost.;11. Daň ze zisku velkých komunikačních firem by se měla zvýšit alespoň na 30 %.;12. Státní instituce by měly být rozmísťovány rovnoměrně po celém území ČR.;13. Stát by měl finančně podporovat vznik sítě romských asistentů prevence kriminality.;15. Mělo by být zřízeno specializované státní zastupitelství pro boj proti korupci.;16. Sazba DPH na některé položky by měla být nulová.;17. Kouření v restauracích by mělo být zakázáno.;18. Maximální výše schodku státního rozpočtu by měla být omezena zákonem.;19. Český telekomunikační úřad by měl v podmínkách aukce na LTE sítě vyhradit část spektra v pásmu 800 MHz pro nové hráče.;20. Vydávání majetku církvím v rámci tzv. církevních restitucí by mělo být zastaveno.;21. Občané by měli mít možnost předložit návrh zákona pomocí petice.;22. Reklama na léky hrazené ze zdravotního pojištění by měla být zakázána.;23. Homosexuální páry by měly mít stejná práva na adopci dětí jako heterosexuální páry.;24. Limity těžby uhlí v ČR by měly být zachovány.;25. ČR by měla být i nadále členem NATO.;26. Měla by existovat možnost vypsání celostátního referenda na základě petice.;27. Poplatek za prázdná paměťová média by měl být zachován.;28. Státní podpora stavebního spoření by měla být zachována.;29. Zdraví škodlivé potraviny (např. limonády, cukrovinky, hranolky) by měly mít vyšší sazbu DPH.;30. Měly by být zavedeny tzv. registrační pokladny.;31. Marihuana by měla být legalizována.;32. Měla by vzniknout státem vlastněná banka jako alternativa komerčních bank.;33. Data vytvářená veřejnou správou by měla být poskytována zdarma a ve strojově čitelné podobě.;34. Vlastnická struktura všech akciových společností by měla být dohledatelná na internetu.;35. ČR by měla být i nadále členem EU.;36. Stát by měl omezovat výrobu potravin z geneticky modifikovaných organizmů.;37. Stát by měl garantovat základní připojení k internetu pro všechny občany.;39. Obchodní řetězce by měly nabízet povinně předepsaný podíl potravin od českých výrobců.;40. Měla by existovat povinnost prokázat původ určitého majetku s možností zabavení neprokázaného majetku.;41. Pacienti by měli mít možnost připlatit si za nadstandardní zdravotní péči.;"42. Stahování ""pirátského"" obsahu z internetu by mělo být trestné.";43. Systém datových schránek by se měl otevřít pro více provozovatelů.;44. Regulační zdravotnické poplatky by měly být zachovány.;45. V sociálně vyloučených lokalitách by měly být zakázány hazardní přístroje.;46. Kontrolní pravomoci NKÚ by měly být rozšířeny na samosprávy a obchodní společnosti s vlastnickou účastí veřejné správy.;47. Minimální hrubá mzda by měla být nejméně 10 000 Kč měsíčně.;48. Pro obsazování volených funkcí by měly být zavedeny kvóty pro ženy.;49. Občané docházející na pravidelné preventivní prohlídky by měli platit nižší zdravotní pojištění.;50. Účetnictví politických stran včetně smluv a dokladů by mělo být pravidelně zveřejňováno na internetu.;51. Poskytovatelé připojení k internetu by měli dodržovat tzv. síťovou neutralitu.;52. Armáda ČR by se měla účastnit zahraničních vojenských misí.;53. Domácí porody by měly být trestné.;54. Stát by měl pravidelně zveřejňovat platy a odměny vrcholných politiků a vysokých státních úředníků.;55. Tzv. 2. pilíř důchodového systému by měl být zachován.;56. Na pozice v dozorčích a správních radách obchodních společností s vlastnickou účastí veřejné správy by měla být vypisována otevřená výběrová řízení.;57. Stát by měl omezit přístup k webovým stránkám s obsahem nevhodným pro nezletilé.;58. Těžba zemního plynu z břidlicových písků by měla být zakázána.;59. Stát by měl garantovat místo v mateřské školce pro každé dítě určitého věku.;60. Povinné přidávání biosložek do paliv by mělo být i nadále zachováno.;61. Technické vzdělávání na středních a vysokých školách by mělo být státem podporováno na úkor jiných oborů.;62. Očkování by mělo být vždy dobrovolné.;63. Platnost smluv uzavřených veřejnou správnou by měla být podmíněna jejich zveřejněním v registru smluv.;64. Poplatky za právníky vymáháné před exekucí po dlužnících, co dluží do 10000 Kč, by měly být omezeny zákonem pod 1000 Kč.;65. Vyplácení podpory v nezaměstnanosti by mělo být vázáno na školní docházku dětí.
'Obcane_2011 - pravy_blok_cibulka'; 1; 1; 1; 1; 0; 1; 1; 0; 0; 1; 0; 0; 1; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 0; 1; 1; 1; 1; 1
'Obcane_2011 - strana_soukromniku_cr'; 0; 1; 1; 0; 1; 0; 1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 0; 0; 0; 1; 0; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 1; 1
'Obcane_2011 - ODS'; 1; 1; 0.25; 1; 1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 1; 1; 0; 0; 0; 1; 0.25; 1; 0; 1; 1; 1; 0; 1; 0; 0; 0; 1; 0; 1; 0; 0; 1; 1; 0; 0; 0.25; 0; 0; 1; 1; 1; 1; 1; 1; 0.25; 0; 0; 0; 0; 0; 0.25; 0; 0; 0; 1; 1
'TOP_09 - ANO'; 0; 1; 1; 1; 0; 0; 1; 0; 1; 0.25; 1; 1; 0; 0.25; 1; 1; 1; 0; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 0; 0; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 1; 0; 1; 1; 1; 1
'TOP_09 - KSCM'; 0.25; 1; 1; 1; 0; 0.25; 1; 1; 0; 0.25; 1; 0.25; 0; 0.25; 1; 1; 0; 0; 0; 0.25; 0; 0; 0; 1; 1; 0.25; 0; 0.25; 0; 1; 0; 1; 0.25; 0; 0; 1; 1; 1; 0; 0; 1; 1; 0; 0.25; 1; 1; 1; 0; 0.25; 1; 0; 0.25; 0.25; 0.25; 1; 1; 0.25; 1; 1; 1; 1
'TOP_09 - DSSS'; 0; 1; 0; 1; 0; 0.25; 0; 1; 0; 1; 0; 0; 0; 0.25; 0; 0.25; 0; 0; 0.25; 1; 1; 0; 0; 0.25; 1; 1; 0; 1; 0; 1; 0; 0; 1; 0; 0; 1; 1; 1; 1; 0; 1; 1; 0; 1; 1; 0; 1; 0; 1; 1; 0; 1; 0; 1; 1; 0.25; 1; 0; 0; 1; 1
'TOP_09 - LEV21'; 1; 1; 0.25; 1; 0; 0.25; 1; 0; 0.25; 1; 1; 0; 0; 0.25; 0.25; 1; 0; 0; 0.25; 0; 0.25; 1; 0; 0.25; 1; 0.25; 0; 0.25; 1; 0.25; 0; 1; 0.25; 0.25; 0.25; 1; 0; 1; 1; 0; 1; 1; 0.25; 0; 1; 1; 0.25; 0; 0.25; 1; 0; 1; 1; 0.25; 0; 0.25; 1; 0; 1; 0.25; 0.25
'TOP_09 - SSO'; 1; 1; 1; 0; 1; 0.25; 0; 0; 1; 0; 0; 0; 0.25; 0.25; 1; 1; 0; 1; 1; 0.25; 0; 1; 0; 1; 0; 1; 1; 0; 1; 1; 1; 0; 0; 1; 1; 0; 1; 1; 1; 0; 0; 0; 1; 1; 0.25; 0.25; 0; 0; 1; 1; 0; 0.25; 1; 0; 0; 0; 1; 0; 1; 0.25; 0
'TOP_09 - HLAVU_VZHURU'; 0; 1; 0; 0; 1; 1; 0; 1; 1; 1; 0.25; 0; 0; 0.25; 1; 0.25; 0.25; 1; 1; 1; 0; 1; 1; 0.25; 0.25; 1; 0.25; 1; 1; 0.25; 1; 0.25; 0.25; 1; 0; 0.25; 1; 0; 0; 0; 0; 1; 1; 1; 0.25; 0; 0.25; 1; 1; 1; 0; 0.25; 1; 0; 1; 0; 0; 1; 0.25; 1; 1
'TOP_09 - KDU-CSL'; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 0; 0.25; 1; 1; 1; 1; 1; 1; 0.25; 1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 0; 1; 0; 1; 1; 0; 0.25; 1; 1; 0.25; 1; 1; 1; 1; 0.25; 1; 1; 1; 0; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1
'TOP_09 - KAN'; 1; 1; 0; 0; 0.25; 0.25; 0.25; 1; 1; 1; 1; 1; 1; 0.25; 1; 0.25; 1; 0.25; 1; 1; 0.25; 1; 0.25; 1; 1; 1; 1; 0.25; 1; 1; 0; 1; 1; 1; 0; 0.25; 1; 0; 0; 1; 1; 1; 0.25; 1; 0.25; 1; 0.25; 1; 1; 1; 1; 1; 0.25; 0; 1; 1; 1; 0.25; 1; 1; 1
'TOP_09 - Obcane_2011'; 1; 1; 0; 1; 0; 1; 0; 1; 1; 0; 1; 1; 0; 0.25; 1; 1; 0; 0; 0; 1; 1; 1; 0; 1; 1; 1; 0; 1; 0; 1; 0; 1; 1; 0; 0; 1; 1; 0; 0; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1
'TOP_09 - TOP_09'; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0.25; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1
'TOP_09 - usvit_prime_demo'; 1; 1; 1; 1; 0; 0; 0; 0; 1; 0; 0; 1; 1; 0.25; 1; 1; 1; 0; 0; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0.25; 1; 1; 1; 1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1
'TOP_09 - koruna_ceska'; 1; 1; 1; 0; 0; 1; 0; 1; 1; 0; 1; 1; 0; 0.25; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1
'TOP_09 - strana_zelenych'; 1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 0; 0.25; 1; 1; 1; 0; 0; 0; 1; 1; 0; 1; 1; 0; 0; 0; 1; 1; 0; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 1; 1; 0; 1; 1; 0; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1
'TOP_09 - SPOZ'; 1; 1; 0; 1; 0; 1; 1; 0; 0; 1; 1; 1; 0; 0.25; 1; 1; 0; 0; 0; 1; 0; 1; 0; 0; 1; 1; 0; 1; 0; 1; 0; 1; 1; 0; 0; 1; 1; 0; 0; 0.25; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1
'TOP_09 - CPS'; 1; 1; 1; 1; 0; 0; 0; 1; 0.25; 1; 1; 1; 0; 0.25; 1; 1; 0; 0; 0; 0; 1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 0.25; 1; 1; 0; 1; 0; 1; 1; 0.25; 1; 1; 0; 1; 1; 1; 1; 0; 1; 0; 1; 1; 0
'TOP_09 - politicke_hnuti_zmena'; 1; 1; 0.25; 1; 0; 0; 0.25; 1; 0.25; 0.25; 1; 1; 0; 0.25; 1; 1; 0; 0; 0; 0; 1; 1; 0; 1; 1; 0; 0; 0; 0.25; 1; 0; 1; 1; 0; 0; 1; 1; 0.25; 0.25; 0.25; 1; 1; 0; 0.25; 1; 1; 0.25; 1; 1; 1; 0.25; 1; 0.25; 1; 1; 0.25; 0.25; 0.25; 1; 1; 1
'TOP_09 - CSSD'; 1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 0; 0.25; 0; 0.25; 0.25; 0; 1; 0.25; 0.25; 1; 0; 0.25; 1; 1; 0; 1; 0; 1; 0; 1; 0.25; 0; 0; 1; 0; 1; 0; 0; 1; 1; 0; 0; 0.25; 1; 0.25; 1; 1; 1; 0; 0.25; 1; 1; 1; 1; 1; 1; 0.25; 1; 0
'TOP_09 - pravy_blok_cibulka'; 1; 1; 0; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0.25; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 0; 0; 1; 0; 1; 0; 1; 1; 0; 0; 1; 1; 1; 0; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 0; 1; 0; 1; 0; 1; 1; 1
'TOP_09 - strana_soukromniku_cr'; 0; 1; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0.25; 1; 1; 1; 0; 0; 1; 0; 1; 0; 1; 1; 0; 1; 0; 0; 0; 1; 1; 1; 1; 0; 1; 1; 0; 0; 0; 1; 1; 1; 1; 1; 0; 1; 0; 1; 1; 0; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1
'TOP_09 - ODS'; 1; 1; 0.25; 1; 0; 1; 0; 1; 1; 0; 0; 1; 1; 0.25; 1; 1; 1; 1; 1; 1; 0.25; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 0; 0; 1; 0; 1; 0; 1; 1; 0.25; 0; 1; 1; 1; 1; 1; 1; 1; 0.25; 1; 0; 1; 0; 0; 0.25; 0; 1; 0; 1; 1
'usvit_prime_demo - ANO'; 0; 1; 1; 1; 1; 1; 0; 1; 1; 0.25; 0; 1; 0; 0; 1; 1; 1; 1; 0; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 0.25; 1; 1; 1; 1; 1; 1; 0; 1; 0; 0; 1; 1; 1; 1
'usvit_prime_demo - KSCM'; 0.25; 1; 1; 1; 1; 0.25; 0; 0; 0; 0.25; 0; 0.25; 0; 0.25; 1; 1; 0; 1; 1; 0.25; 0; 0; 1; 0; 1; 0.25; 0; 0.25; 0; 1; 1; 1; 0.25; 0; 0; 1; 1; 1; 0; 0; 1; 1; 0; 0.25; 1; 1; 0.25; 0; 0.25; 1; 0; 0.25; 0.25; 0.25; 1; 0; 0.25; 1; 1; 1; 1
'usvit_prime_demo - DSSS'; 0; 1; 0; 1; 1; 0.25; 1; 0; 0; 0; 1; 0; 0; 1; 0; 0.25; 0; 1; 0.25; 1; 1; 0; 1; 0.25; 1; 1; 0; 1; 0; 1; 1; 0; 1; 0; 0; 1; 1; 1; 1; 0; 1; 1; 0; 1; 1; 0; 0.25; 0; 1; 1; 0; 1; 1; 1; 1; 0.25; 1; 0; 0; 1; 1
'usvit_prime_demo - LEV21'; 1; 1; 0.25; 1; 1; 0.25; 0; 1; 0.25; 0; 0; 0; 0; 0.25; 0.25; 1; 0; 1; 0.25; 0; 0.25; 1; 1; 0.25; 1; 0.25; 0; 0.25; 1; 0.25; 1; 1; 0.25; 0.25; 0.25; 1; 0; 1; 1; 0; 1; 1; 0.25; 0; 1; 1; 0.25; 0; 0.25; 1; 0; 1; 0; 0.25; 0; 0.25; 1; 0; 1; 0.25; 0.25
'usvit_prime_demo - SSO'; 1; 1; 1; 0; 0; 0.25; 1; 1; 1; 1; 1; 0; 0.25; 1; 1; 1; 0; 0; 0; 0.25; 0; 1; 1; 0; 0; 1; 1; 0; 1; 1; 0; 0; 0; 1; 1; 0; 1; 1; 1; 0; 0; 0; 1; 1; 0.25; 0.25; 0.25; 0; 1; 1; 0; 0.25; 0; 0; 0; 1; 1; 0; 1; 0.25; 0
'usvit_prime_demo - HLAVU_VZHURU'; 0; 1; 0; 0; 0; 0; 1; 0; 1; 0; 0.25; 0; 0; 1; 1; 0.25; 0.25; 0; 0; 1; 0; 1; 0; 0.25; 0.25; 1; 0.25; 1; 1; 0.25; 0; 0.25; 0.25; 1; 0; 0.25; 1; 0; 0; 0; 0; 1; 1; 1; 0.25; 0; 0.25; 1; 1; 1; 0; 0.25; 0; 0; 1; 1; 0; 1; 0.25; 1; 1
'usvit_prime_demo - KDU-CSL'; 1; 1; 1; 1; 1; 0; 0; 0; 1; 1; 0; 1; 0; 0.25; 1; 1; 1; 0; 0; 1; 0.25; 1; 0; 0; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 0; 1; 1; 0; 0.25; 1; 1; 0.25; 1; 1; 1; 1; 0.25; 1; 1; 1; 0; 1; 1; 1; 1; 0; 0; 1; 1; 1; 1
'usvit_prime_demo - KAN'; 1; 1; 0; 0; 0.25; 0.25; 0.25; 0; 1; 0; 0; 1; 1; 0; 1; 0.25; 1; 0.25; 0; 1; 0.25; 1; 0.25; 0; 1; 1; 1; 0.25; 1; 1; 1; 1; 1; 1; 0; 0.25; 1; 0; 0; 1; 1; 1; 0.25; 1; 0.25; 1; 0.25; 1; 1; 1; 1; 1; 0.25; 0; 1; 0; 1; 0.25; 1; 1; 1
'usvit_prime_demo - Obcane_2011'; 1; 1; 0; 1; 1; 0; 1; 0; 1; 1; 0; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 0; 1; 0; 1; 1; 1; 1; 0; 0; 1; 1; 0; 0; 0; 1; 1; 0; 1; 1; 1; 0.25; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 0; 1; 1; 1
'usvit_prime_demo - TOP_09'; 1; 1; 1; 1; 0; 0; 0; 0; 1; 0; 0; 1; 1; 0.25; 1; 1; 1; 0; 0; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0.25; 1; 1; 1; 1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1
'usvit_prime_demo - usvit_prime_demo'; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0.25; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1
'usvit_prime_demo - koruna_ceska'; 1; 1; 1; 0; 1; 0; 1; 0; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0.25; 1; 1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1
'usvit_prime_demo - strana_zelenych'; 1; 1; 1; 1; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 0; 0; 0; 1; 1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 1; 0.25; 0; 1; 1; 0; 1; 1; 1; 1; 0; 1; 0; 1; 1; 1
'usvit_prime_demo - SPOZ'; 1; 1; 0; 1; 1; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 0; 0; 1; 1; 0; 0; 0.25; 1; 1; 0; 1; 1; 1; 0.25; 1; 1; 1; 0; 1; 0; 0; 1; 0; 1; 1; 1; 1; 1
'usvit_prime_demo - CPS'; 1; 1; 1; 1; 1; 1; 1; 0; 0.25; 0; 0; 1; 0; 1; 1; 1; 0; 1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0.25; 1; 1; 0; 1; 0; 1; 0.25; 0.25; 1; 1; 0; 1; 0; 1; 1; 1; 1; 0; 1; 1; 0
'usvit_prime_demo - politicke_hnuti_zmena'; 1; 1; 0.25; 1; 1; 1; 0.25; 0; 0.25; 0.25; 0; 1; 0; 0; 1; 1; 0; 1; 1; 0; 1; 1; 1; 0; 1; 0; 0; 0; 0.25; 1; 1; 1; 1; 0; 0; 1; 1; 0.25; 0.25; 0.25; 1; 1; 0; 0.25; 1; 1; 0.25; 1; 1; 1; 0.25; 1; 0.25; 1; 1; 0.25; 0.25; 0.25; 1; 1; 1
'usvit_prime_demo - CSSD'; 1; 1; 1; 1; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0.25; 0.25; 1; 0; 0.25; 0.25; 1; 1; 0.25; 1; 1; 0; 1; 0; 1; 1; 1; 0.25; 0; 0; 1; 0; 1; 0; 0; 1; 1; 0; 0; 0.25; 1; 0.25; 1; 1; 1; 0; 0.25; 0; 1; 1; 0; 1; 1; 0.25; 1; 0
'usvit_prime_demo - pravy_blok_cibulka'; 1; 1; 0; 1; 0; 0; 1; 1; 0; 1; 1; 0; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 0; 0; 1; 0; 1; 1; 1; 1; 0; 0; 1; 1; 1; 0; 0; 1; 1; 0; 1; 1; 1; 0.25; 1; 1; 1; 0; 1; 0; 0; 1; 1; 1; 0; 1; 1; 1
'usvit_prime_demo - strana_soukromniku_cr'; 0; 1; 0; 0; 1; 1; 1; 0; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 0; 1; 0; 1; 0; 0; 0; 0; 1; 1; 1; 0; 1; 1; 0; 0; 0; 1; 1; 1; 1; 1; 0; 0.25; 0; 1; 1; 0; 1; 1; 1; 1; 0; 0; 1; 1; 1; 1
'usvit_prime_demo - ODS'; 1; 1; 0.25; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 0.25; 1; 0; 0; 1; 1; 1; 1; 1; 0; 0; 1; 0; 0; 1; 0; 1; 0; 1; 1; 0.25; 0; 1; 1; 1; 1; 0.25; 1; 1; 0.25; 1; 0; 0; 0; 0; 0.25; 0; 1; 0; 1; 1
'koruna_ceska - ANO'; 0; 1; 1; 0; 1; 0; 0; 0; 1; 0.25; 1; 1; 1; 0; 1; 1; 1; 1; 0; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 0; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 0; 0; 1; 1; 1; 1
'koruna_ceska - KSCM'; 0.25; 1; 1; 0; 1; 0.25; 0; 1; 0; 0.25; 1; 0.25; 1; 0.25; 1; 1; 0; 1; 1; 0.25; 0; 0; 0; 1; 1; 0.25; 0; 0.25; 0; 1; 1; 1; 0.25; 0; 1; 0; 1; 1; 0; 0; 1; 1; 0; 0.25; 1; 1; 1; 0; 0.25; 1; 0; 0.25; 0.25; 0.25; 1; 0; 0.25; 1; 1; 1; 1
'koruna_ceska - DSSS'; 0; 1; 0; 0; 1; 0.25; 1; 1; 0; 0; 0; 0; 1; 1; 0; 0.25; 0; 1; 0.25; 1; 1; 0; 0; 0.25; 1; 1; 0; 1; 0; 1; 1; 0; 0; 0; 1; 0; 1; 1; 1; 0; 1; 1; 0; 1; 1; 0; 1; 0; 1; 1; 0; 1; 0; 0; 1; 0.25; 1; 0; 0; 1; 1
'koruna_ceska - LEV21'; 1; 1; 0.25; 0; 1; 0.25; 0; 0; 0.25; 0; 1; 0; 1; 0.25; 0.25; 1; 0; 1; 0.25; 0; 0.25; 1; 0; 0.25; 1; 0.25; 0; 0.25; 1; 0.25; 1; 1; 0.25; 0.25; 0.25; 0; 0; 1; 1; 0; 1; 1; 0.25; 0; 1; 1; 0.25; 0; 0.25; 1; 0; 1; 1; 0.25; 0; 0.25; 1; 0; 1; 0.25; 0.25
'koruna_ceska - SSO'; 1; 1; 1; 1; 0; 0.25; 1; 0; 1; 1; 0; 0; 0.25; 1; 1; 1; 0; 0; 0; 0.25; 0; 1; 0; 1; 0; 1; 1; 0; 1; 1; 0; 0; 1; 1; 0; 1; 1; 1; 1; 0; 0; 0; 1; 1; 0.25; 0.25; 0; 0; 1; 1; 0; 0.25; 1; 1; 0; 1; 1; 0; 1; 0.25; 0
'koruna_ceska - HLAVU_VZHURU'; 0; 1; 0; 0; 0; 1; 1; 1; 1; 0; 0.25; 0; 1; 1; 1; 0.25; 0.25; 0; 0; 1; 0; 1; 1; 0.25; 0.25; 1; 0.25; 1; 1; 0.25; 0; 0.25; 0.25; 1; 1; 0.25; 1; 0; 0; 0; 0; 1; 1; 1; 0.25; 0; 0.25; 1; 1; 1; 0; 0.25; 1; 1; 1; 1; 0; 1; 0.25; 1; 1
'koruna_ceska - KDU-CSL'; 1; 1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 0.25; 1; 1; 1; 0; 0; 1; 0.25; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 0; 0.25; 1; 1; 0.25; 1; 1; 1; 1; 0.25; 1; 1; 1; 0; 1; 0; 0; 1; 0; 0; 1; 1; 1; 1
'koruna_ceska - KAN'; 1; 1; 0; 1; 0.25; 0.25; 0.25; 1; 1; 0; 1; 1; 0; 0; 1; 0.25; 1; 0.25; 0; 1; 0.25; 1; 0.25; 1; 1; 1; 1; 0.25; 1; 1; 1; 1; 0; 1; 1; 0.25; 1; 0; 0; 1; 1; 1; 0.25; 1; 0.25; 1; 0.25; 1; 1; 1; 1; 1; 0.25; 1; 1; 0; 1; 0.25; 1; 1; 1
'koruna_ceska - Obcane_2011'; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 0; 1; 1; 1; 0; 0; 1; 0; 1; 0; 0; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 0; 0; 1; 0; 1; 0; 1; 1; 1
'koruna_ceska - TOP_09'; 1; 1; 1; 0; 0; 1; 0; 1; 1; 0; 1; 1; 0; 0.25; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1
'koruna_ceska - usvit_prime_demo'; 1; 1; 1; 0; 1; 0; 1; 0; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0.25; 1; 1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1
'koruna_ceska - koruna_ceska'; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1
